|novel|brut_sum|brut_type|Total Words|Percentage|field
93|Tanz der Spione 3|298|37|34305|0.8686780352718262|W
94|The Last Shinobi|648|44|67004|0.9671064414064833|W
95|Tochter des Gefangenen   Hexen Trilogie 1 |392|47|55298|0.7088863973380592|W
96|Tracy Marric|114|27|17432|0.6539697108765489|W
97|Trampen nach L A |64|19|9436|0.6782534972445952|W
98|Traumpfad|87|25|16701|0.5209268906053529|W
99|Triton Neptun Scott und der Apfel des Glücks|91|24|27134|0.33537259526792956|W
100|Turn back the clock  Staffel 1 |59|23|12202|0.48352729060809707|W
101|Wanted   Das Spiel beginnt|123|31|18636|0.6600128783000644|W
102|Warm  kalt und alles dazwischen |56|19|13648|0.4103165298944901|W
103|Wave Crown|198|34|16576|1.1944980694980696|W
104|Wecke nicht die Toten  Band 1|277|35|45846|0.6041966583780483|W
105|Wecke nicht die Toten  Band 2|76|22|15540|0.4890604890604891|W
106|Wir und unsere Leichen|166|35|16453|1.0089345408132255|W
107|Wohin der Wind auch weht   Meharos Zauber|135|32|27043|0.49920496986281104|W
108|Wunder geschehen|43|18|10815|0.3975959315765141|W
109|Yuus unglaubliche Abenteuer_0|628|56|99701|0.6298833512201483|W
110|Yuus unglaubliche Abenteuer_1|259|43|43532|0.5949646237250759|W
111|Zeitsplitter in Bronze|134|29|27055|0.49528737756422103|W
112|Zwischen Himmel und Erde|385|43|59843|0.6433500994268335|W
113|Zwischen allen Welten|124|32|15244|0.8134347940173182|W
0|Baldur   Alle Farben der Magie_0|863|57|96418|0.8950610881785559|M
1|Baldur   Alle Farben der Magie_1|840|66|98109|0.8561905635568603|M
2|Baldur   Alle Farben der Magie_2|856|66|96156|0.8902200590706769|M
3|Baldur   Alle Farben der Magie_3|900|62|96502|0.9326231580692629|M
4|Baldur   Alle Farben der Magie_4|772|67|97109|0.7949829572954102|M
5|Baldur   Alle Farben der Magie_5|647|53|67982|0.951722514783325|M
6|Clash of Times|388|43|20855|1.8604651162790697|M
7|Der Held von Aranor|175|41|30455|0.5746182892792645|M
8|Der König von Kalaß_0|534|61|97962|0.5451093281068169|M
9|Der König von Kalaß_1|64|27|12708|0.5036197670758578|M
10|Der Zeitzug   Die erste Fahrt des Schaffners|45|20|11484|0.3918495297805642|M
11|Die Chroniken der sieben Schwerter|147|29|21612|0.6801776790671848|M
12|Die Geschichte von Lars Zickler|409|51|55211|0.7407944069116662|M
13|Die Große Liebe im Jugendknast_0|373|37|105623|0.353142781401778|M
14|Die Große Liebe im Jugendknast_1|302|34|104809|0.2881431938096919|M
15|Die Große Liebe im Jugendknast_2|67|17|20834|0.32158970912930784|M
16|Die Höhle|149|31|14562|1.023211097376734|M
17|Die Kinder des Windes|222|39|38348|0.5789089391884844|M
18|Ein Traum |165|37|15433|1.069137562366358|M
19|Fjell   Der Berg der Jomsburg|161|30|18088|0.890092879256966|M
20|Gabriel|200|36|42135|0.47466476800759466|M
21|Geschäftsmann und Schamane|158|36|30083|0.5252135757736928|M
22|Hinter den Bergen|466|51|52765|0.8831611863924951|M
23|Infected   Kaltes Leben|52|23|10458|0.49722700325109964|M
24|Jane   Dem Wahnsinn Entgegen|113|26|11614|0.9729636645427931|M
25|Kreiling Power_0|659|56|97419|0.676459417567415|M
26|Kreiling Power_1|325|41|48712|0.6671867301691575|M
27|New Earth|134|32|15578|0.8601874438310437|M
28|Piraten|235|29|39760|0.5910462776659959|M
29|Risen from Ruins|92|33|11739|0.7837124116193883|M
30|Seelenlicht|138|33|10630|1.2982126058325494|M
31|Shadow Sky|239|38|23403|1.0212365935991112|M
32|Spirit Force|33|19|10297|0.32048169369719337|M
33|Star Dart 2   Die Kinder des Universums|222|41|34381|0.6457054768622205|M
34|Sturmkind 1   Der Tempel der vier Winde |240|43|35761|0.671122172198764|M
35|The Heavy Way|136|33|22479|0.605009119622759|M
36|The Unreal Reality|278|38|28094|0.9895351320566669|M
37|The splintered truth_0|786|61|96768|0.8122519841269842|M
38|The splintered truth_1|837|67|97082|0.8621577635401001|M
39|The splintered truth_2|799|61|96449|0.8284170908977802|M
40|The splintered truth_3|745|58|97016|0.7679145707924465|M
41|The splintered truth_4|662|63|97596|0.6783064879708185|M
42|The splintered truth_5|257|46|43155|0.5955277488124203|M
43|Tokyo Devils  Tokyo Sharks_0|514|55|97746|0.5258527203159209|M
44|Tokyo Devils  Tokyo Sharks_1|528|52|97000|0.5443298969072164|M
45|Tokyo Devils  Tokyo Sharks_2|432|55|97880|0.4413567633837352|M
46|Tokyo Devils  Tokyo Sharks_3|10|8|4109|0.24336821611097592|M
47|Ulrik 2_0|726|59|97277|0.746322357802975|M
48|Ulrik 2_1|554|50|66608|0.8317319240932021|M
0|43 Stunden|81|25|13566|0.5970809376382131|W
1|7 Tage Wahnsinn|136|31|12090|1.1248966087675765|W
2|Aloha From Hell|150|33|19602|0.7652280379553107|W
3|Am Ende des Tages|148|29|13800|1.0724637681159421|W
4|Amusement Park|122|24|18122|0.6732148769451495|W
5|Another Fear|345|48|25856|1.334313118811881|W
6|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _0|1009|63|100195|1.0070362792554517|W
7|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _1|848|61|98916|0.8572930567350074|W
8|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _2|262|45|32231|0.812882008004716|W
9|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _0|785|64|99824|0.7863840359031896|W
10|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _1|801|55|100628|0.7960011130102954|W
11|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _2|729|61|99425|0.733215991953734|W
12|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _3|623|61|87810|0.7094863910716319|W
13|Archiviert ZOE   Das Leben der Mörderin   Band I _0|1255|58|100779|1.2452991198563192|W
14|Archiviert ZOE   Das Leben der Mörderin   Band I _1|31|14|5170|0.5996131528046422|W
15|Archiviert ZOE   Das Leben der Mörderin   Band II _0|918|57|100578|0.9127244526636044|W
16|Archiviert ZOE   Das Leben der Mörderin   Band II _1|1058|55|100793|1.0496760687746174|W
17|Archiviert ZOE   Das Leben der Mörderin   Band II _2|282|44|29947|0.9416636057034093|W
18|Archiviert ZOE   Einhundert Tage   Band III _0|1091|62|101139|1.0787134537616547|W
19|Archiviert ZOE   Einhundert Tage   Band III _1|249|42|24688|1.0085871678548284|W
20|Avarus|107|32|14524|0.7367116496832828|W
21|Bad Boy or good guy |619|58|57805|1.0708416226969986|W
22|Because Life doesn t have a Happy End|202|32|18647|1.0832841743980266|W
23|Bloodlust|36|18|4680|0.7692307692307693|W
24|Bloody Mary|176|34|20664|0.8517228029423152|W
25|Blutrot|205|31|13503|1.518181144930756|W
26|Blutspiel|117|34|12467|0.9384775808133473|W
27|Criminal Minds   Die Geschichten von Clive und Bianca|342|54|49599|0.6895300308473961|W
28|Danach|128|35|23283|0.5497573336769317|W
29|Dark Lightning   oder wie eine Wette mein Leben veränderte|65|25|11451|0.5676360143218933|W
30|Das Blut in deinen Adern|96|23|10842|0.8854454897620365|W
31|Das innere Monster   wenn wir unsere eigenen Feinde werden|207|37|24970|0.8289947937525031|W
32|Dead End|150|28|10765|1.3934045517882026|W
33|Dead Valley|91|23|9899|0.9192847762400242|W
34|Death Angel   dem Tod entkommst du nicht|71|18|11237|0.6318412387647949|W
35|Der Altenpfleger|33|12|12932|0.25518094648932876|W
36|Der Mann ohne Gesicht|86|28|15545|0.553232550659376|W
37|Der Mitternachtszug|284|39|28437|0.9986988782220346|W
38|Der Puppenmacher|49|21|10543|0.46476335009010716|W
39|Der Schattengraf|143|35|23911|0.5980511061854377|W
40|Der dunkle Gott|79|27|8457|0.934137400969611|W
41|Der unbekannte Drogenboss|60|20|9939|0.6036824630244492|W
42|Der verhängnisvolle Kursausflug|73|27|11218|0.6507398823319666|W
43|Die Albtraumreise|64|23|12352|0.5181347150259068|W
44|Die Geisterhände|120|35|9972|1.203369434416366|W
45|Die Herberge der Spinnenfrau|437|41|73361|0.5956843554477174|W
46|Die Horrorparty|116|34|11528|1.0062456627342125|W
47|Die Hülle|291|37|44140|0.6592659719075669|W
48|Die Hütte im Wald|92|31|14478|0.6354468849288576|W
49|Die Jagd geht weiter|89|24|11305|0.7872622733303848|W
50|Die Nacht von Hellows|52|17|11517|0.4515064686984458|W
51|Die Wahl   Wie willst du sterben |236|40|24006|0.9830875614429725|W
52|Dunkles Wasser|175|36|22382|0.7818782950585292|W
53|Durch die Spiegel|158|30|14066|1.123275984643822|W
54|Ein Mysteriöser Wald|178|24|22767|0.7818333552949445|W
55|Eine Nacht im Lakeside Hotel|409|41|49394|0.8280357938211118|W
56|Es ist in deinem Blut|209|38|17016|1.2282557592853784|W
57|FL16HT OR F16HT  Flucht oder Kampf |113|30|15851|0.7128887767333291|W
58|Ghost Ship|88|25|15433|0.5702066999287242|W
59|Gwyllgi|81|30|15284|0.5299659774928029|W
60|Haus des Schreckens|117|28|9818|1.1916887349765737|W
61|Hazard|59|24|10563|0.5585534412572186|W
62|Heart in a death earth MMFF|152|32|16560|0.9178743961352657|W
63|Hunter   Hunteds|1|1|218|0.45871559633027525|W
64|Im Käfig|117|29|12493|0.9365244536940687|W
65|Jäger der Finsternis|148|35|16257|0.910377068339792|W
66|Kannst du dich an Regeln halten |63|22|13133|0.4797076067920506|W
67|Kill me if you can |365|47|38626|0.9449593538031378|W
68|Kingdom of Demons|119|29|12728|0.9349465744814582|W
69|Lass uns SPIELEN |156|26|25068|0.6223073240785064|W
70|Laub in ihrem Haar|72|23|12585|0.5721096543504172|W
71|Âme cassée  Zerbrochene Seele |36|16|4997|0.7204322593556134|W
0|3|126|29|12010|1.0491257285595337|M
1|Als der Tod an unsere Tür klopfte|231|31|25620|0.9016393442622952|M
2|Attacked|96|31|16944|0.56657223796034|M
3|Besser  ihr rennt    Old Version|321|42|52678|0.6093625422377463|M
4|Blut   |204|26|11403|1.7890028939752698|M
5|Böse Überraschungen|95|28|21975|0.4323094425483504|M
6|Dark Forces  Staffel 1|423|34|27732|1.5253137170056252|M
7|Das Haus an der Peary Road|80|25|9944|0.8045052292839904|M
8|Das Haus des Schreckens|208|30|25204|0.8252658308205046|M
9|Das Haus im Wald|264|39|32702|0.8072900740015901|M
10|Das Schicksal von Kempton Rock|110|28|12698|0.8662781540400063|M
11|Der Horror dieser Welt|94|31|10276|0.9147528221097703|M
12|Der Mörder an meiner Seite|111|30|19834|0.5596450539477665|M
