|novel|brut_sum|brut_type|Total Words|Percentage
62|Heart in a death earth MMFF|152|32|16560|0.9178743961352657
63|Hunter   Hunteds|1|1|218|0.45871559633027525
64|Im Käfig|117|29|12493|0.9365244536940687
65|Jäger der Finsternis|148|35|16257|0.910377068339792
66|Kannst du dich an Regeln halten |63|22|13133|0.4797076067920506
67|Kill me if you can |365|47|38626|0.9449593538031378
68|Kingdom of Demons|119|29|12728|0.9349465744814582
69|Lass uns SPIELEN |156|26|25068|0.6223073240785064
70|Laub in ihrem Haar|72|23|12585|0.5721096543504172
71|Âme cassée  Zerbrochene Seele |36|16|4997|0.7204322593556134
